# =========================================================
# =================      SECTION 1: NODES      =================
# FORMAT: NodeID, X, Y
# =========================================================

# --- Outdoor Campus ---
Main-Gate-Front,230,52
Main-Gate-Back,230,461
EE-Entrance-Right,54,164
EE-Entrance-Left,54,420
EE-Entrance-Mid,94,294
EE-Building,100,250
Cafe-I,107,406
Lab-5,205,413
Masjid,294,404
CS-Entrance-Left,254,294
CS-Up-Mid-Entrance,391,260
CS-Down-Mid-Entrance,391,350
CS-Down-Left-Girls,294,350
CS-Down-Right,492,351
CS-Entrance-Right,530,294
CS-Building,391,305
Basketball-Court,462,160
Badminton-Court,750,200
Multipurpose-Building,576,350
Futsal-Court,750,290
Cafe-II,508,436
Sports-Room,750,420
Multi-Stairs-G,576,404
Multi-Entrance-Left,576,350
Multi-Entrance-Right,700,350
North,230,100
South,230,400
West,150,294
East,600,294
Mid-Up,391,200
Mid-Down,391,450

# --- EE Floor A (Basement) ---
EE-Stairs-A-Left,50,100
EE-Lab-DLD,120,100
EE-Lab-Eng,190,100
EE-A-3,260,100
EE-A-2,330,100
EE-A-1,400,100
EE-Stairs-A-Right,470,100
EE-Hall-A,260,200
EE-A-8,50,300
EE-A-7,120,300
EE-A-6,190,300
EE-A-5,260,300
EE-Entrance-Mid,330,300
EE-A-4,400,300
EE-Lab-6,470,300

# --- EE Floor B (Ground) ---
EE-Stairs-B-Left,50,100
EE-Stairs-B-Mid-Up,330,100
EE-Stairs-B-Right,400,100
EE-Hall-B,260,200
EE-Stairs-B-Left-Down,50,300
EE-Stairs-B-Right-Down,190,300
EE-B-9,260,300
EE-B-10,330,300
EE-B-11,400,300

# --- EE Floor C (1st) ---
EE-Stairs-C-Left,50,100
EE-Lab-8,120,100
EE-C-20,190,100
EE-C-21,260,100
EE-Stairs-C-Mid,330,100
EE-C-16,400,100
EE-C-15,470,100
EE-Stairs-C-Right,540,100
EE-Hall-C,330,200
EE-Lab-7,50,300
EE-C-19,120,300
EE-C-18,190,300
EE-C-17,260,300
EE-C-12,400,300
EE-C-13,470,300
EE-C-14,540,300

# --- EE Floor D (2nd) ---
EE-Stairs-D-Left,50,100
EE-Library-Hall,120,100
EE-Lab-11,190,100
EE-Stairs-D-Mid,260,100
EE-Lab-10,330,100
EE-Lab-9,400,100
EE-Stairs-D-Right,470,100
EE-Hall-D,260,200
EE-D-28,50,300
EE-D-27,120,300
EE-D-26,190,300
EE-D-25,260,300
EE-D-24,330,300
EE-Sitting-Area-D,400,300
EE-D-23,470,300
EE-D-22,540,300

# --- EE Floor E (3rd) ---
EE-Stairs-E-Left,50,100
EE-Lab-14,190,100
EE-Lab-12,260,100
EE-Lab-13,330,100
EE-Stairs-E-Mid-Down,400,100
EE-Lab-Electromechanical,470,100
EE-Lab-Physics,540,100
EE-Stairs-E-Right,610,100
EE-Hall-E,330,200
EE-E-35,50,300
EE-E-34,120,300
EE-E-33,190,300
EE-E-32,260,300
EE-E-31,330,300
EE-Sitting-Area-E,400,300
EE-E-30,470,300
EE-E-29,540,300
EE-BCR,610,300

# --- CS Ground Floor ---
CS-Stairs-Up-Left,100,100
CS-LLC,200,100
CS-Up-Middle-Entrance,350,50
CS-Stairs-Middle-Up,350,250
CS-Left-Entrance,50,200
CS-Hall,350,200
CS-Right-Entrance,650,200
CS-OneStop,150,300
CS-Down-Middle-Entrance,350,400
CS-S2,550,300
CS-Stairs-Up-Right,650,100
CS-Down-Right-Entrance,550,400
CS-Down-Left-Girls,150,400

# --- CS 1st Floor ---
CS-Stairs-1-Left,100,100
CS-Lab-1,200,100
CS-Lab-2,400,100
CS-Lab-3,500,100
CS-Stairs-1-Right,700,100
CS-E-3,50,200
CS-Hall-1,400,200
CS-Stairs-1-Middle,400,250
CS-E-2,200,300
CS-E-1,200,400
CS-E-4,750,200
CS-E-5,750,300
CS-E-6,750,400

# --- CS Basement ---
CS-Stairs-F-Left,100,150
CS-Stairs-F-Middle,400,150
CS-Stairs-F-Right,700,150
CS-Hall-F,400,200
CS-CSF-1,250,250
CS-CSF-10,550,250

# --- Multipurpose Building Ground ---
Multi-Left-Entrance,100,300
Multi-Stairs-G-Left-Up,150,100
Multi-Auditorium-Entrance,350,400
Multi-Sitting/Playing-Area,500,150
Multi-Right-Entrance,600,300
Multi-Stairs-G-Right-Up,600,250
Multi-Stairs-G-Right-Down,650,350
Multi-Hall-G,350,300

# --- Multipurpose Building Basement ---
Multi-Library,300,300
Multi-Stairs-B,400,300

# --- Multipurpose Building 1st Floor ---
Multi-Stairs-1-Left,150,100
Multi-Stairs-1-Right,650,100
Multi-Cafeteria-Entrance,500,150
Multi-Cafeteria-Entrance-Back,200,300


# =========================================================
# =================      SECTION 2: EDGES      =================
# FORMAT: NodeA, NodeB, Weight
# =========================================================

# --- Main Campus Paths ---
Main-Gate-Front,North,30
North,South,300
South,Main-Gate-Back,30
North,CS-Up-Mid-Entrance,100
South,Cafe-II,30

# --- EE Area ---
EE-Building,EE-Entrance-Right,10
EE-Building,EE-Entrance-Mid,10
EE-Building,EE-Entrance-Left,10
EE-Entrance-Mid,West,20
EE-Entrance-Left,Cafe-I,10
Cafe-I,Lab-5,30
Lab-5,CS-Down-Left-Girls,40
West,CS-Entrance-Left,50

# --- CS Area ---
CS-Building,CS-Entrance-Left,10
CS-Building,CS-Up-Mid-Entrance,10
CS-Building,CS-Down-Mid-Entrance,10
CS-Building,CS-Entrance-Right,10
CS-Entrance-Left,Masjid,20
Masjid,CS-Down-Left-Girls,20
CS-Down-Mid-Entrance,Cafe-II,30
CS-Down-Right,Cafe-II,40
CS-Entrance-Right,East,30
CS-Up-Mid-Entrance,CS-Down-Mid-Entrance,40

# --- Sports & Multi Area ---
CS-Up-Mid-Entrance,Basketball-Court,60
Basketball-Court,Badminton-Court,80
East,Multi-Entrance-Left,50
Multi-Entrance-Left,Multi-Entrance-Right,40
Multi-Entrance-Right,Futsal-Court,40
Futsal-Court,Sports-Room,40
Sports-Room,Cafe-II,80
Badminton-Court,Multi-Entrance-Right,60
EE-Entrance-Right,Basketball-Court,200
West,East,200
Masjid,Multi-Entrance-Left,100
Cafe-II,Sports-Room,120

# --- EE Internal Logic (Shortcuts) ---
EE-Entrance-Mid,EE-Hall-A,5
EE-Entrance-Left,EE-Hall-A,5
EE-Entrance-Right,EE-Hall-A,5

# --- CS Internal Logic (Shortcuts) ---
CS-Up-Mid-Entrance,CS-Up-Middle-Entrance,2
CS-Entrance-Left,CS-Left-Entrance,2
CS-Down-Left-Girls,CS-Down-Left-Girls,2
CS-Entrance-Right,CS-Right-Entrance,2
CS-Down-Right,CS-Down-Right-Entrance,2

# --- Multi Internal Logic ---
Multi-Stairs-G,Multi-Stairs-B,15
Multi-Stairs-G,Multi-Stairs-1,15
Multi-Entrance-Left,Multi-Stairs-G,5
Multi-Entrance-Right,Multi-Stairs-G,10

# --- EE Floor A ---
EE-Stairs-A-Left,EE-Hall-A,10
EE-Lab-DLD,EE-Hall-A,10
EE-Lab-Eng,EE-Hall-A,10
EE-A-3,EE-Hall-A,10
EE-A-2,EE-Hall-A,10
EE-A-1,EE-Hall-A,10
EE-Stairs-A-Right,EE-Hall-A,10
EE-A-8,EE-Hall-A,10
EE-A-7,EE-Hall-A,10
EE-A-6,EE-Hall-A,10
EE-A-5,EE-Hall-A,10
EE-Entrance-Mid,EE-Hall-A,10
EE-A-4,EE-Hall-A,10
EE-Lab-6,EE-Hall-A,10

# --- EE Floor B ---
EE-Stairs-B-Left,EE-Hall-B,10
EE-Stairs-B-Mid-Up,EE-Hall-B,10
EE-Stairs-B-Right,EE-Hall-B,10
EE-Stairs-B-Left-Down,EE-Hall-B,10
EE-Stairs-B-Right-Down,EE-Hall-B,10
EE-B-9,EE-Hall-B,10
EE-B-10,EE-Hall-B,10
EE-B-11,EE-Hall-B,10

# --- EE Floor C ---
EE-Stairs-C-Left,EE-Hall-C,10
EE-Lab-8,EE-Hall-C,10
EE-C-20,EE-Hall-C,10
EE-C-21,EE-Hall-C,10
